# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
8.400000000000000E+007;-4.086378822798538E-002;-5.755386770857011E-001;
8.410000000000000E+007;-9.995438247792668E-002;-6.435695135665935E-001;
8.420000000000000E+007;-1.369468987615056E-001;-6.981399194215681E-001;
8.430000000000000E+007;-2.118915176822333E-001;-7.183289622539862E-001;
8.440000000000000E+007;-2.687089667782607E-001;-7.298146552759014E-001;
8.450000000000000E+007;-2.998827986210781E-001;-7.461709055746335E-001;
8.460000000000000E+007;-3.411083452235691E-001;-7.505404354746360E-001;
8.470000000000000E+007;-3.688435131076158E-001;-7.540120422103018E-001;
8.480000000000000E+007;-4.003127558114846E-001;-7.502465035593412E-001;
8.490000000000000E+007;-4.438841336148447E-001;-7.347402468975967E-001;
8.500000000000000E+007;-4.523147460925228E-001;-7.396321587286369E-001;
8.510000000000000E+007;-4.570803868222074E-001;-7.458147029120457E-001;
8.520000000000000E+007;-4.698156710255770E-001;-7.478111469588685E-001;
8.530000000000000E+007;-5.022387138618749E-001;-7.248647846033690E-001;
8.540000000000000E+007;-5.184778834603354E-001;-7.205573682489588E-001;
8.550000000000000E+007;-5.337709022371920E-001;-7.094320177967045E-001;
8.560000000000000E+007;-5.404807346174498E-001;-7.122608485795540E-001;
8.570000000000000E+007;-5.607933437670041E-001;-6.962847682422307E-001;
8.580000000000000E+007;-5.774678503094944E-001;-6.804699717002243E-001;
8.590000000000000E+007;-5.737015936816245E-001;-6.912508247189948E-001;
8.600000000000000E+007;-5.864257473380520E-001;-6.775130480520032E-001;
8.610000000000000E+007;-5.745609722781526E-001;-6.978543410577982E-001;
8.620000000000000E+007;-5.962340018372035E-001;-6.782206698671462E-001;
8.630000000000000E+007;-5.919239778357893E-001;-6.865823601818597E-001;
8.640000000000000E+007;-6.135239472472478E-001;-6.606786911953855E-001;
8.650000000000000E+007;-6.134947591159676E-001;-6.639684296547309E-001;
8.660000000000000E+007;-6.088801020498662E-001;-6.739781409836716E-001;
8.670000000000000E+007;-6.179080891728032E-001;-6.647593605265874E-001;
8.680000000000000E+007;-6.201017478245504E-001;-6.667402005563334E-001;
8.690000000000000E+007;-6.249882998240743E-001;-6.614063224851834E-001;
8.700000000000000E+007;-6.244206484065633E-001;-6.640488253349062E-001;
8.710000000000000E+007;-6.312133400311308E-001;-6.592810418714235E-001;
8.720000000000000E+007;-6.287404737862792E-001;-6.627692953608841E-001;
8.730000000000000E+007;-6.360373076331660E-001;-6.543974886380304E-001;
8.740000000000000E+007;-6.446076418234600E-001;-6.447063417876802E-001;
8.750000000000000E+007;-6.442083839913571E-001;-6.444367088943441E-001;
8.760000000000000E+007;-6.431998216322689E-001;-6.469187039617996E-001;
8.770000000000000E+007;-6.473889574889169E-001;-6.439238440598591E-001;
8.780000000000000E+007;-6.595636364415227E-001;-6.299908711859285E-001;
8.790000000000000E+007;-6.540262583429460E-001;-6.388287600757041E-001;
8.800000000000000E+007;-6.453154661305349E-001;-6.505185953273920E-001;
8.810000000000000E+007;-6.450338722041457E-001;-6.532598197527291E-001;
8.820000000000000E+007;-6.654477855273024E-001;-6.270184696320809E-001;
8.830000000000000E+007;-6.639846680059597E-001;-6.251716834617090E-001;
8.840000000000000E+007;-6.649749815614346E-001;-6.311752023208321E-001;
8.850000000000000E+007;-6.786889643312950E-001;-6.090029114107874E-001;
8.860000000000000E+007;-6.554743096652269E-001;-6.456775157494342E-001;
8.870000000000000E+007;-6.705845396811870E-001;-6.250484623986751E-001;
